City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,barcelos,41.5388,-8.6151,9.36,72,6,1.27,PT,1675018466
291,codrington,-38.2667,141.9667,12.54,85,0,2.48,AU,1675018593
292,evensk,61.95,159.2333,-4.78,84,100,15.78,RU,1675018594
293,crestview,30.7621,-86.5705,21.31,72,100,1.34,US,1675018542
294,kamenka,51.3223,42.7678,-4.63,96,100,3.71,RU,1675018594
295,salalah,17.0151,54.0924,20.36,30,5,5.25,OM,1675018595
296,concepcion del uruguay,-32.4825,-58.2372,33.32,37,0,2.24,AR,1675018596
297,kandrian,-6.2167,149.55,25.13,89,99,3.11,PG,1675018596
298,ostrovnoy,68.0531,39.5131,-5.03,90,100,9.17,RU,1675018597
299,terrace,54.5163,-128.6035,-6.05,58,40,7.2,CA,1675018597
300,camapua,-19.5314,-54.0439,28.92,63,91,3.19,BR,1675018598
301,ulaanbaatar,47.9077,106.8832,-24.93,70,95,0.0,MN,1675018598
302,berbera,10.4396,45.0143,25.06,69,6,3.68,SO,1675018599
303,manta,-0.95,-80.7333,29.88,62,75,4.63,EC,1675018599
304,saurimo,-9.6608,20.3916,19.25,91,100,1.32,AO,1675018471
305,frolovo,49.7713,43.6622,-1.45,91,100,4.06,RU,1675018600
306,krivosheino,57.3431,83.9261,-10.7,94,100,4.93,RU,1675018601
307,loandjili,-4.7561,11.8578,28.06,83,20,2.57,CG,1675018602
308,akhtubinsk,48.2795,46.1722,-4.02,82,90,3.71,RU,1675018602
309,beira,-19.8436,34.8389,29.05,89,20,5.66,MZ,1675018602
310,palafrugell,41.9174,3.1631,6.37,42,5,0.45,ES,1675018603
311,port-gentil,-0.7193,8.7815,27.98,78,20,1.54,GA,1675018603
312,jacqueville,5.2052,-4.4146,26.79,85,24,3.64,CI,1675018604
313,catuday,16.2923,119.8062,22.85,71,6,4.89,PH,1675018605
314,dawei,14.0833,98.2,20.75,44,92,4.38,MM,1675018605
315,college,64.8569,-147.8028,-5.23,92,40,0.0,US,1675018606
316,kaitangata,-46.2817,169.8464,13.48,67,100,2.03,NZ,1675018607
317,half moon bay,37.4636,-122.4286,12.25,67,100,7.2,US,1675018607
318,mandalgovi,45.7625,106.2708,-13.49,65,0,1.81,MN,1675018608
319,coquimbo,-29.9533,-71.3436,18.85,72,75,5.14,CL,1675018608
320,lixourion,38.2019,20.4314,11.45,71,56,3.14,GR,1675018609
321,khawhai,23.3667,93.1167,7.2,68,28,1.37,IN,1675018609
322,port moresby,-9.4431,147.1797,23.68,100,40,1.54,PG,1675018610
323,avera,33.194,-82.5271,9.03,78,100,1.03,US,1675018610
324,mogadishu,2.0371,45.3438,24.76,82,93,10.49,SO,1675018611
325,beitbridge,-22.2167,30.0,26.74,60,6,13.67,ZW,1675018612
326,bara,10.3744,10.7288,28.77,23,66,1.95,NG,1675018612
327,lata,40.1629,-8.3327,11.56,66,6,2.43,PT,1675018613
328,kuusamo,65.9667,29.1833,-2.98,86,100,5.66,FI,1675018613
329,sitka,57.0531,-135.33,1.94,80,40,0.0,US,1675018614
330,newport,51.5877,-2.9984,8.03,90,40,4.76,GB,1675018614
331,adrar,20.5022,-10.0711,17.31,35,41,4.07,MR,1675018615
332,dwarka,22.2394,68.9678,19.61,69,0,5.35,IN,1675018616
333,cochabamba,-17.3895,-66.1568,18.86,59,75,3.6,BO,1675018597
334,deputatskiy,69.3,139.9,-39.57,97,13,1.87,RU,1675018616
335,durant,33.994,-96.3708,0.95,86,100,6.69,US,1675018318
336,potosi,-19.5836,-65.7531,10.42,64,100,3.06,BO,1675018599
337,marawi,7.9986,124.2928,19.96,97,100,0.6,PH,1675018618
338,dornbirn,47.4167,9.7331,0.31,82,75,1.54,AT,1675018618
339,rocha,-34.4833,-54.3333,26.86,48,0,6.74,UY,1675018586
340,chuy,-33.6971,-53.4616,25.64,63,28,6.82,UY,1675018619
341,sisimiut,66.9395,-53.6735,-8.62,82,100,8.09,GL,1675018619
342,qarayeri,40.7886,46.3066,3.49,65,75,2.06,AZ,1675018620
343,prince rupert,54.3161,-130.3201,1.83,75,0,5.66,CA,1675018503
344,madimba,-10.4,40.3333,26.62,83,20,5.14,TZ,1675018621
345,ladario,-19.0047,-57.6017,25.16,94,75,2.06,BR,1675018621
346,port hedland,-20.3167,118.5667,28.03,83,75,1.54,AU,1675018622
347,hearst,49.6835,-83.6665,-19.86,82,99,3.21,CA,1675018622
348,te anau,-45.4167,167.7167,11.97,57,100,0.41,NZ,1675018623
349,venancio aires,-29.6064,-52.1919,32.93,41,73,6.07,BR,1675018623
350,cayenne,4.9333,-52.3333,27.02,74,100,7.2,GF,1675018624
351,dubrovka,53.6907,33.5071,-3.19,79,100,4.31,RU,1675018624
352,kavaratti,10.5669,72.642,26.87,68,18,4.54,IN,1675018625
353,merauke,-8.4667,140.3333,26.92,81,93,1.26,ID,1675018506
354,mount gambier,-37.8333,140.7667,11.31,92,6,2.21,AU,1675018626
355,cajati,-24.7361,-48.1228,34.66,43,53,3.14,BR,1675018626
356,ayabaca,-4.6398,-79.7149,16.84,57,83,3.3,PE,1675018627
357,si bun ruang,16.9667,102.2833,13.8,57,9,0.56,TH,1675018627
358,biabou,13.2,-61.1333,26.0,65,40,6.17,VC,1675018628
359,phonhong,18.5007,102.4166,12.75,63,6,0.9,LA,1675018628
360,saint george,37.1041,-113.5841,7.19,54,1,0.89,US,1675018629
